X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,prac_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fix_resp_2.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,1,2,smallHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,,j,1,2.453685,,,,,,,,,,,,,,,,,,,,,,,,,5,1,21,0,1,,,,,
,,,,,,,,,,,,,,,1,4,smallHincon,Stimuli/SofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,,f,0,3.26712,,,,,,,,,,,,,,,,,,,,,,,,,5,2,22,1,1,,,,,
,,,,,,,,,,,,,,,1,8,smallSincon,Stimuli/HofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,0,space,j,0,6.43514,space,,,,,,0.364535,3.18228,,,,,,,,,,,,,,,,,5,3,23,3,1,,,,,
,,,,,,,,,,,,,,,2,8,largeSincon,Stimuli/SofH2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,5.21545,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,0,0,3,1
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,2.176055,,,,,,,,,,,,,,,,,0,space,,,,,,0.31256,,,,,,0,1,1,2,1
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.816885,,,,,,,,,,,,,,,,,0,space,,,,,,0.291655,,,,,,0,2,2,1,1
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,2.14061,,,,,,,,,,,,,,,,,0,space,,,,,,0.34743,,,,,,0,3,3,0,1
,,,,,,,,,,,,,,,2,8,largeSincon,Stimuli/SofH2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,1.61946,,,,,,,,,,,,,,,,,0,space,,,,,,0.33119,,,,,,1,0,4,3,1
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.70133,,,,,,,,,,,,,,,,,1,space,,,,,,0.33614,,,,,,1,1,5,0,1
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.685485,,,,,,,,,,,,,,,,,0,space,,,,,,0.3187,,,,,,1,2,6,1,1
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,1.87563,,,,,,,,,,,,,,,,,0,space,,,,,,0.3178,,,,,,1,3,7,2,1
,,,,,,,,,,,,,,,2,8,largeSincon,Stimuli/SofH2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,2.004345,space,,,,,,,0.00063,,,,,,,,,0,,,,,,,,,,,,,2,0,8,3,1
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,2.199735,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,1,9,0,1
,,,,,,,,,,,,,,,2,4,largeHincon,Stimuli/HofS2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,1.59873,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,2,10,1,1
,,,,,,,,,,,,,,,2,6,largeScongr,Stimuli/SofS2.jpg,f,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,f,1,2.56151,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,3,11,2,1
,,,,,,,,,,,,,,,2,2,largeHcongr,Stimuli/HofH2.jpg,j,right,dt,4,3,2020-12-01_15h30.39.378,global_local,2020.2.4,MacIntel,60,1440,900,,,,,j,1,2.21941,,,,,,,,,,,,,,,,,1,space,,,,,,0.98758,,,,,,3,0,12,0,1
