X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_fix_resp_fast.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fix_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,0.43529,,1,38,0,38,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,1,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,j,0,0.537495,,1,39,0,39,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,j,1,0.423055,,1,40,0,40,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.180761727,0,Stimuli/edmd.png,Stimuli/eimd.png,conf_face,f,0,0.706055,space,1,41,0,41,0,1,0.70725,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,f,0,0.72935,,1,42,0,42,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,0.336355,,1,43,0,43,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.180761727,1,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,j,0,0.47117,space,1,44,0,44,0,1,0.70286,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,1,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,j,0,0.911805,,1,45,0,45,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,0,Stimuli/eomu.png,Stimuli/edmd.png,conf_face,j,1,3.501055,,1,46,0,46,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,0,Stimuli/eimd.png,Stimuli/eumu.png,conf_face,j,1,1.623835,,1,47,0,47,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,conf_face,Designs/instructions_face_1234.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,conf_haus,j,0,0.608425,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.180761727,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,conf_haus,f,1,0.519005,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WR,1,2,2021-01-06_23h09.31.682,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.180761727,0,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,conf_haus,j,1,0.50939,space,1,2,0,2,0,1,0.694625,,,,,,,
