X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/f15.png,Stimuli/f142.png,,,,j,1,1.1637,,44,0,44,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/f142.png,Stimuli/f131.png,,,,j,1,3.272835,,45,0,45,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/f142.png,Stimuli/f131.png,,,,j,1,1.093045,,46,0,46,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/f131.png,Stimuli/f131.png,,,,j,0,1.257245,,47,0,47,0,1,,,,,,,feat_face,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,feat_face,Designs/instructions_face_1234.png
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,1.49017,,0,0,0,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/H8sim0.png,Stimuli/H5sim0.png,,,,j,1,0.61529,,1,0,1,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/H7sim0.png,Stimuli/H5sim0.png,,,,f,0,1.523415,,2,0,2,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/H5sim0.png,Stimuli/H6sim0.png,,,,f,0,0.86145,,3,0,3,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,j,0,1.778325,,4,0,4,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,0.19509888,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,j,0,2.495765,space,5,0,5,0,1,0.41288,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/H6sim0.png,Stimuli/H8sim0.png,,,,f,0,1.228435,,6,0,6,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,f,1,0.97441,,7,0,7,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,f,1,0.92985,,8,0,8,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/H8sim0.png,Stimuli/H6sim0.png,,,,j,1,1.540685,,9,0,9,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/H5sim0.png,Stimuli/H8sim0.png,,,,j,1,0.92434,,10,0,10,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,f,1,0.75713,,11,0,11,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,,,,f,1,1.844985,,12,0,12,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/H8sim0.png,Stimuli/H5sim0.png,,,,f,0,1.673735,,13,0,13,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,f,1,0.805815,,14,0,14,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,f,1,0.96509,,15,0,15,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/H7sim0.png,Stimuli/H5sim0.png,,,,j,1,0.607425,,16,0,16,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,0.19509888,0,Stimuli/H7sim0.png,Stimuli/H6sim0.png,,,,j,1,0.956715,,17,0,17,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,0,Stimuli/H6sim0.png,Stimuli/H7sim0.png,,,,j,1,0.72401,,18,0,18,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,0,-0.19509888,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,,,j,0,1.24124,,19,0,19,0,1,,,,,,,feat_haus,
,,,,,,,,,,,,,,,,,,,,,,,,,DP,2,2,2020-11-16_09h33.10.896,configural_featural,2020.2.4,Linux x86_64,60,1920,1080,,1,-0.19509888,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,j,0,4.18958,space,20,0,20,0,1,0.022715,,,,,,feat_haus,
