X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,,,,f,0,2.197815,,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,,,,j,1,0.473545,,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,j,0,0.431385,,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,,,,j,1,0.439485,,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,j,0,1.466735,,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,,,,j,1,0.99928,,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,0.55041,,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,f,1,1.35764,,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,,,,j,1,0.380795,,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,j,0,0.4164,,20,0,20,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,0.55403,,21,0,21,0,1,,,,,,,,
