X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_13.keys,key_resp_13.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,block_type,instruction_text,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/edmd.png,Stimuli/eumu.png,,,,j,1,0.638765,,43,0,43,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/edmd.png,Stimuli/eimd.png,,,,f,0,0.4381,,44,0,44,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,1,0.599245,,45,0,45,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/eimd.png,Stimuli/eumu.png,,,,j,1,0.55256,,46,0,46,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,1,2.173185,,47,0,47,0,1,,,,,,,conf_face,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,conf_face,Designs/instructions_face_1234.png,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,,,,f,0,5.926275,,0,0,0,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,f,1,1.71229,,1,0,1,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,,,,f,0,1.40017,,2,0,2,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,,,,f,0,0.69954,,3,0,3,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,1.16436,,4,0,4,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,1.96808,,5,0,5,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,f,1,0.913475,,6,0,6,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,,,,f,0,1.07779,,7,0,7,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,f,1,0.850845,,8,0,8,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,1,-0.10446784,0,Stimuli/H-8sim1.png,Stimuli/H-8sim0.png,,,,j,1,1.310845,space,9,0,9,0,1,0.349775,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/H-8sim3.png,Stimuli/H-8sim1.png,,,,j,1,1.27212,,10,0,10,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,f,1,1.22784,,11,0,11,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,,,,f,0,1.69882,,12,0,12,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,f,1,1.055585,,13,0,13,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/H-8sim2.png,Stimuli/H-8sim3.png,,,,f,0,1.132595,,14,0,14,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,f,1,1.18782,,15,0,15,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,f,1,1.223015,,16,0,16,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,,,,j,1,1.208055,,17,0,17,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,,,,j,1,1.337625,,18,0,18,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,0.10446784,0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,,,,j,1,1.50097,,19,0,19,0,1,,,,,,,conf_haus,,
,,,,,,,,,,,,,,,,,,,,,,,,AL,1,2,2020-11-06_04h28.09.977,configural_featural,2020.2.4,MacIntel,60,2560,1440,,0,-0.10446784,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,0.970825,,20,0,20,0,1,,,,,,,conf_haus,,
