Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_6.rt,key_resp_5.rt,allDone.started,allDone.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/eimd.png,None,None,None,f,0,0.5404783189296722,None,202.67009467002936,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/edmd.png,None,None,None,j,1,0.4145000629359856,None,203.93675365799572,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,j,0,0.4662255609873682,None,205.07007387897465,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,f,0,0.4721869110362604,None,206.25585947104264,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,1,0.4998762020841241,None,207.4533036199864,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eomu.png,Stimuli/eumu.png,None,None,None,f,0,0.4570454520871863,None,208.67014013498556,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,j,0,1.1509976970264688,None,209.8533355590189,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,j,0,0.46973834303207695,None,211.75337124301586,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,f,1,0.6138442779192701,None,212.95335580804385,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,1,0.49193078896496445,None,214.28871287603397,None,,,,,sophie,1,2,2020_Oct_30_1935,configural_featural,2020.2.4,None,
