trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,d,0,0.8839601110084914,91.87411674897885,None,,,,,,,,,,,,,91.17131633497775,91.37176860199543,91.68808941799216,91.88832161697792,0.2000215586158447,0.5000215586158447,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
5,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,s,0,0.8703209299710579,93.4720269079553,None,,,,,,,,,,,,,92.78873752697837,92.98872850800399,93.3050146419555,93.50525895395549,0.2062476577120833,0.5062476577120834,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
6,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,d,0,0.5658008810132742,95.07167084096,None,,,,,,,,,,,,,94.39039531495655,94.89676568697905,94.91752687696135,95.12192541896366,0.2106132837361656,0.5106132837361657,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
7,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,s,0,0.5387555320048705,96.33989234297769,None,,,,,,,,,,,,,95.65504279296147,95.8566087539657,96.18368239299161,96.39009920100216,0.20296950463671237,0.5029695046367124,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
8,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,d,0,0.46523351699579507,97.58997318195179,None,,,,,,,,,,,,,96.90502192598069,97.10761593194911,97.43351149995578,97.64000854396727,0.20650616165949032,0.5065061616594904,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
9,0,0,0,0,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,s,0,0.5499064569594339,98.7570727369748,None,,,,,,,,,,,,,98.07171647099312,98.27374061697628,98.60068766999757,98.80513731297106,0.20378697966225445,0.5037869796622545,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
10,0,0,0,0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,d,0,0.6304733810247853,100.04014672897756,None,,,,,,,,,,,,,99.35682652296964,99.86301992199151,99.8837154089706,100.08864719595294,0.21096272068098187,0.5109627206809819,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
11,0,0,0,0,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,s,0,0.7174978260300122,101.37425838597119,None,,,,,,,,,,,,,100.68860375095392,100.88861998397624,101.20501496997895,101.40500291297212,0.20566838566446677,0.5056683856644668,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
12,0,0,0,0,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,s,0,0.471011109999381,102.82192338298773,None,,,,,,,,,,,,,102.14001784095308,102.34108669997659,102.6667790429783,102.87163920799503,0.2086494356044568,0.5086494356044569,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
13,0,0,0,0,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,d,0,0.5554683200316504,104.02188899897737,None,,,,,,,,,,,,,103.340293560992,103.54075572598958,103.86722965899389,104.07179381098831,0.21284906065557152,0.5128490606555716,run,001,2020_Sep_24_0010,config_feat_task,2020.2.4,None,
