trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,key_resp4.keys,key_resp4.corr,key_resp4.rt,key_resp4.started,key_resp4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
21,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.23177604196826,72.43234705796931,72.74870137497783,72.94892937300028,0.20097813667962328,0.5009781366796233,s,0,0.18526393797947094,72.91546137398109,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
22,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.131775818998,73.33221346896607,73.64846471097553,73.84998340898892,0.19953014265047386,0.49953014265047385,d,0,0.014181473001372069,73.83207333897008,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
23,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.86497314996086,74.06535132898716,74.38198847899912,74.58403018297395,0.20910876867128536,0.5091087686712854,s,0,0.23108630400383845,74.55055392999202,None,,,,,,,,,,,,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,74.79906730400398,None,space,1.8042013649828732,74.79906730400398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.64858681999613,76.85064704698743,77.17906069295714,77.38226056197891,0.2095917803235352,0.5095917803235352,d,0,0.6849271690007299,77.33401163300732,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
1,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.06564811198041,78.26703575998545,78.59527310699923,78.80069529096363,0.21360920736333355,0.5136092073633336,d,0,0.9041024580365047,78.74910147499759,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
2,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.70052150695119,80.20741014298983,80.22881696396507,80.43407084798673,0.20760034664999694,0.507600346649997,s,0,0.2534963579964824,80.38206007995177,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
3,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.66540426400024,80.8673365059658,81.19474994199118,81.39906377100851,0.2036760826013051,0.5036760826013051,s,0,0.8020625580102205,81.35109746200033,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
4,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1827721800073,82.38241942296736,82.72916625899961,82.93255509698065,0.21154792670859024,0.5115479267085903,d,0,0.14075885998317972,82.88442199997371,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
5,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.04957716399804,83.24896642699605,83.59460566897178,83.80103609600337,0.2115308817010373,0.5115308817010373,d,0,0.7761574330506846,83.74898269795813,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
6,0,0,0,0,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.56760510895401,85.07414128497476,85.09518672799459,85.29934264696203,0.2022471316740848,0.5022471316740849,s,0,0.23141480097547174,85.25103940995177,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
7,0,0,0,0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.49901343800593,85.70069104700815,86.02870981098386,86.23435745597817,0.2028069746447727,0.5028069746447728,s,0,0.5677289260202087,86.18340922397329,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
8,0,0,0,0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.78404187696287,87.29100740299327,87.31258269696264,87.51603727799375,0.21008404664462432,0.5100840466446244,d,0,0.2124255240196362,87.46756829798687,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
9,0,0,0,0,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.69905392598594,87.89906302496092,88.21554715500679,88.41587043000618,0.20547462260583416,0.5054746226058342,s,0,0.14912091701989993,88.3827432509861,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
10,0,0,0,0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.54904264397919,88.75103474396747,89.07840928895166,89.28270868695108,0.20223179663298652,0.5022317966329866,d,0,0.6936893400270492,89.2345968929585,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
11,0,0,0,0,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94918704696465,90.14905715797795,90.49534315796336,90.69906758796424,0.21147265465697274,0.5114726546569728,s,0,0.4989426619722508,90.6505323809688,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
12,0,0,0,0,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.18265162297757,91.38426613097545,91.71174726396566,91.9155436809524,0.2008095397031866,0.5008095397031866,d,0,0.13936722197104245,91.86761727998964,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
13,0,0,0,0,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0323470509611,92.23426613298943,92.56201838096604,92.76838525600033,0.20152853662148118,0.5015285366214812,d,0,0.0939433469902724,92.7175221889629,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
14,0,0,0,0,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.84931078198133,93.04902000696165,93.3652272769832,93.5656098749605,0.20345659868326038,0.5034565986832604,d,0,0.14300546800950542,93.53276421298506,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
15,0,0,0,0,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.69898791296873,93.89906902995426,94.21535054798005,94.41570452600718,0.20190957566956058,0.5019095756695606,d,0,0.153388676000759,94.38267464097589,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
16,0,0,0,0,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.56618224200793,94.76602490700316,95.11278545198729,95.3159573529847,0.21395634167129174,0.5139563416712918,s,0,1.1102592119714245,95.26763835496968,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
17,0,0,0,0,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.39887018100126,96.59947274095612,96.91561058996012,97.11599963298067,0.2060781316831708,0.5060781316831708,d,0,0.3369946039747447,97.08281033398816,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
18,0,0,0,0,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.44875821995083,97.64913449896267,97.9654393029632,98.16585120500531,0.2002865916583687,0.5002865916583688,d,0,0.08067367901094258,98.13276881497586,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
19,0,0,0,0,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.23235265800031,98.43264627095778,98.74866283900337,98.95103561499855,0.2046968027134426,0.5046968027134426,d,0,0.435934093024116,98.91734699800145,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
20,0,0,0,0,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.38199498696486,99.58263486198848,99.89854489499703,100.10120067198295,0.20175680360989645,0.5017568036098965,s,0,0.13208848499925807,100.06762764498126,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
21,0,0,0,0,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.23429123399546,100.43246486398857,100.74882604496088,100.95074334996752,0.21092560066608712,0.5109256006660872,s,0,0.11089848098345101,100.9183784199995,None,,,,,,,,,,,,sic,001,2020_Sep_23_2315,config_feat_task,2020.2.4,None,
