39.0613 	EXP 	target_image1: autoDraw = False
39.0613 	EXP 	probe_image1: autoDraw = False
39.0613 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
39.0613 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
39.0613 	EXP 	target_image1: autoDraw = True
39.2610 	EXP 	target_image1: autoDraw = False
39.2611 	EXP 	window1: recordFrameIntervals = False
39.2796 	EXP 	window1: recordFrameIntervals = True
39.6078 	EXP 	probe_image1: autoDraw = True
39.8111 	EXP 	probe_image1: autoDraw = False
40.6794 	EXP 	New trial (rep=0, index=17): OrderedDict([('trialNum', 17)])
40.6877 	DATA 	Keypress: d
40.6938 	EXP 	target_image1: autoDraw = False
40.6938 	EXP 	probe_image1: autoDraw = False
40.6938 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
40.6938 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
40.6938 	EXP 	target_image1: autoDraw = True
40.8796 	EXP 	window1: recordFrameIntervals = False
40.8944 	EXP 	target_image1: autoDraw = False
40.8945 	EXP 	window1: recordFrameIntervals = True
41.2107 	EXP 	probe_image1: autoDraw = True
41.4277 	EXP 	probe_image1: autoDraw = False
42.2619 	EXP 	New trial (rep=0, index=18): OrderedDict([('trialNum', 18)])
42.2689 	DATA 	Keypress: d
42.2774 	EXP 	target_image1: autoDraw = False
42.2774 	EXP 	probe_image1: autoDraw = False
42.2774 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f142.tif'
42.2774 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f24.tif'
42.2774 	EXP 	target_image1: autoDraw = True
42.4612 	EXP 	window1: recordFrameIntervals = False
42.4796 	EXP 	target_image1: autoDraw = False
42.4797 	EXP 	window1: recordFrameIntervals = True
42.8078 	EXP 	probe_image1: autoDraw = True
43.0130 	EXP 	probe_image1: autoDraw = False
44.1283 	EXP 	New trial (rep=0, index=19): OrderedDict([('trialNum', 19)])
44.1352 	DATA 	Keypress: d
44.1442 	EXP 	target_image1: autoDraw = False
44.1442 	EXP 	probe_image1: autoDraw = False
44.1442 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f131.tif'
44.1442 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f131.tif'
44.1442 	EXP 	target_image1: autoDraw = True
44.3276 	EXP 	window1: recordFrameIntervals = False
44.3462 	EXP 	target_image1: autoDraw = False
44.3463 	EXP 	window1: recordFrameIntervals = True
44.6745 	EXP 	probe_image1: autoDraw = True
44.8777 	EXP 	probe_image1: autoDraw = False
45.8952 	EXP 	New trial (rep=0, index=20): OrderedDict([('trialNum', 20)])
45.9037 	DATA 	Keypress: s
45.9110 	EXP 	target_image1: autoDraw = False
45.9110 	EXP 	probe_image1: autoDraw = False
45.9110 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
45.9110 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
45.9110 	EXP 	target_image1: autoDraw = True
46.0967 	EXP 	window1: recordFrameIntervals = False
46.1112 	EXP 	target_image1: autoDraw = False
46.1114 	EXP 	window1: recordFrameIntervals = True
46.4274 	EXP 	probe_image1: autoDraw = True
46.6277 	EXP 	probe_image1: autoDraw = False
47.0983 	EXP 	New trial (rep=0, index=21): OrderedDict([('trialNum', 21)])
47.1063 	DATA 	Keypress: s
47.1108 	EXP 	target_image1: autoDraw = False
47.1108 	EXP 	probe_image1: autoDraw = False
47.1108 	EXP 	target_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f131.tif'
47.1108 	EXP 	probe_image1: image = '/Users/sophia/Documents/PycharmProjects/Local_VS_Global/stimuli/Featural_Set/f15.tif'
47.1108 	EXP 	target_image1: autoDraw = True
47.2966 	EXP 	window1: recordFrameIntervals = False
47.3112 	EXP 	target_image1: autoDraw = False
47.3113 	EXP 	window1: recordFrameIntervals = True
47.6272 	EXP 	probe_image1: autoDraw = True
47.8278 	EXP 	probe_image1: autoDraw = False
48.5956 	EXP 	New trial (rep=0, index=22): OrderedDict([('trialNum', 22)])
48.8706 	EXP 	window1: mouseVisible = True
